DOI	OCI	MAGPaperID
10.1002/pol.1985.170230401	0200100000236252421370109080537010700020300040001-020010000073609070863016304060103630305070563074902	2040975600
10.1002/pol.1985.170230402	0200100000236252421370109080537010700020300040002-020010000073609070863016304060103630305070563074902	1981094368
10.1002/pol.1985.170230403	0200100000236252421370109080537010700020300040003-02001020905362524213422193701043709	2056058854
10.1002/pol.1985.170230403	0200100000236252421370109080537010700020300040003-0200100000236252421370109080237010300020000020102	2056058854
10.1002/pol.1985.170230403	0200100000236252421370109080537010700020300040003-0200100000236252421370109060737010100000501000100	2056058854
10.1002/pol.1985.170230404	0200100000236252421370109080537010700020300040004-02001020406362318202010281718010809083707003701024902030802	2071608502
10.1002/pol.1985.170230405	0200100000236252421370109080537010700020300040005-0200100000236252421123705000700010600050104	2136546804
10.1002/pol.1985.170230405	0200100000236252421370109080537010700020300040005-0200100000236252421370109060537010000000300080107	2136546804
10.1002/pol.1985.170230407	0200100000236252421370109080537010700020300040007-0200100000236252421123705000700010600020503	2131474553
10.1002/pol.1985.170230407	0200100000236252421370109080537010700020300040007-0200100000236252421370109060437010000000200080109	2131474553
10.1002/pol.1985.170230410	0200100000236252421370109080537010700020300040100-02001000106360000030263030806015808025909000103056305	2017002121
10.1002/pol.1985.170230411	0200100000236252421370109080537010700020300040101-0200100000236252421370109060937010100000700050100	2045531642
10.1002/pol.1985.170230411	0200100000236252421370109080537010700020300040101-0200600020836192714283700040537000305	2045531642
10.1002/pol.1985.170230413	0200100000236252421370109080537010700020300040103-020010000023611112512370109080000080401000009	2040642201
10.1002/pol.1985.170230414	0200100000236252421370109080537010700020300040104-020010000073609070863016304060804630108040263024907	1965835819
10.1002/pol.1985.170230414	0200100000236252421370109080537010700020300040104-0200100000236252421123705000700020600010005	1965835819
10.1002/pol.1985.170230415	0200100000236252421370109080537010700020300040105-020020101063611302328142018201016102030370302370449020508	2153554999
10.1002/pol.1985.170230416	0200100000236252421370109080537010700020300040106-0200100000736036305040063000702050263074901	2169152147
10.1002/pol.1985.170230418	0200100000236252421370109080537010700020300040108-0200100000236252421370109060437010000000200040004	2084459696
10.1002/pol.1985.170230419	0200100000236252421370109080537010700020300040109-0200100030936120209070100000000000309	2122759256
10.1002/pol.1985.170230420	0200100000236252421370109080537010700020300040200-020010000073609070863016304060804630008070463044907	2163642269
10.1002/pol.1985.170230420	0200100000236252421370109080537010700020300040200-0200502050436013703050309000601	2163642269
10.1002/pol.1985.170230420	0200100000236252421370109080537010700020300040200-02001000007360907086301630406010563010706016300	2163642269
10.1002/pol.1985.170230422	0200100000236252421370109080537010700020300040202-0200100000236252421370109060437010000000200070300	2058098351
10.1002/pol.1985.170230422	0200100000236252421370109080537010700020300040202-02001000007360907086309046300010163060001076309	2058098351
10.1002/pol.1985.170230423	0200100000236252421370109080537010700020300040203-02001000007360907086301630406010563070306046307	2007054684
10.1002/pol.1985.170230425	0200100000236252421370109080537010700020300040205-0200100030936131509050101010000010205	2125505702
10.1002/pol.1989.140270703	0200100000236252421370109080937010400020700070003-02001000007360907086303630604026306080606016300490107	2044910019
10.1002/pol.1989.140270703	0200100000236252421370109080937010400020700070003-02001000106361109070863006304000863010008030163073705000000086301	2044910019
10.1002/pol.1989.140270801	0200100000236252421370109080937010400020700080001-0200100000236252421370109070037010100000800010009	2064915338
10.1002/pol.1989.140270802	0200100000236252421370109080937010400020700080002-0200101010736010237090407080206	2069435890
10.1002/pol.1989.140270802	0200100000236252421370109080937010400020700080002-02001000007360907086301630407050763090103096306	2069435890
10.1002/pol.1989.140270804	0200100000236252421370109080937010400020700080004-02001000007360907086309046300000963040702066309	2037325025
10.1002/pol.1989.140270804	0200100000236252421370109080937010400020700080004-02001000800360007030606050708070008000708060401	2037325025
10.1002/pol.1989.140270804	0200100000236252421370109080937010400020700080004-0200100000236252421370109080737010400020501010003	2037325025
10.1002/pol.1989.140270804	0200100000236252421370109080937010400020700080004-02001000007360907086301630406010563070603046301	2037325025
10.1002/pol.1989.140270805	0200100000236252421370109080937010400020700080005-020010005013619251734282114293800010907090000040000050009090000	2059322787
10.1002/pol.1989.140270805	0200100000236252421370109080937010400020700080005-02001000501361925173428211429380001090709000004000007000107030000	2059322787
10.1002/pol.1989.140280701	0200100000236252421370109080937010400020800070001-02001000007360907086301630406080463030504056300	2107518642
10.1002/pol.1989.140280701	0200100000236252421370109080937010400020800070001-0200100000236252421370109060837010500000600060300	2107518642
10.1002/pol.1990.140280101	0200100000236252421370109090037010400020800010001-0200102090536202427242337040037030201	2171791440
10.1002/pol.1990.140280101	0200100000236252421370109090037010400020800010001-0200102090536202427242337040137050705	2171791440
10.1002/pol.1990.140280101	0200100000236252421370109090037010400020800010001-0200102090536202427242337040337050209	2171791440
10.1002/pol.1990.140280101	0200100000236252421370109090037010400020800010001-020010204063623182020102817180108090837050637080900	2171791440
10.1002/pol.1990.140280102	0200100000236252421370109090037010400020800010002-0200100000236252421123705000700010600070106	2014603765
10.1002/pol.1990.140280102	0200100000236252421370109090037010400020800010002-02001000007360907086301630406080463030704066301490509	2014603765
10.1002/pola.10000	020010000023625242110370100000000-0200100010636280003000463080805035809085900000505046333	1527399941
10.1002/pola.10000	020010000023625242110370100000000-020010000023610252212370109070737000500060300010003	1527399941
10.1002/pola.10000	020010000023625242110370100000000-020010000023610252212370109080137000500090900010002	1527399941
10.1002/pola.10000	020010000023625242110370100000000-02001000106360009020363010103075809005909000007056315	1527399941
10.1002/pola.10000	020010000023625242110370100000000-02001000106360000030263030806015809015909000600046317	1527399941
10.1002/pola.10000	020010000023625242110370100000000-0200100010636280000010463030005075800005900000006096300	1527399941
10.1002/pola.10000	020010000023625242110370100000000-0200100000236102525370109090237000700040600080104	1527399941
10.1002/pola.10000	020010000023625242110370100000000-0200100000236582818121859010009096300050108580109090900070105590307380104400202090538381018136325242110024203370037122439026319	1527399941
10.1002/pola.10000	020010000023625242110370100000000-020010000023658281812185901000909630005010858010909090008000159030738010540020809093838101813632524211002034203370037122439026308	1527399941
10.1002/pola.10000	020010000023625242110370100000000-02001000002360100090963000501085802000000000900015903083801074003010801383810181363252421100107004203370037122439026305	1527399941
10.1002/pola.10000	020010000023625242110370100000000-020010000023658281812185901000909630005010858020000000003000159030838054007080638381018136325242110024203370037122439026307	1527399941
10.1002/pola.10000	020010000023625242110370100000000-020010000023601000909630005010858020000000101000159030838020140030805053838101813632524211002004203370037122439026302	1527399941
10.1002/pola.10000	020010000023625242110370100000000-0200100000236582818121859010009096300050108580200000000040001590308380740010106013838101813632524211001054203370037122439026315	1527399941
10.1002/pola.10000	020010000023625242110370100000000-020010000023610122925370109080037000100030100010103	1527399941
10.1002/pola.10000	020010000023625242110370100000000-020010000023625183704090800010400040002	1527399941
10.1002/pola.10000	020010000023625242110370100000000-020010000073628000003090600000500050601	1527399941
10.1002/pola.10001	020010000023625242110370100000001-0200100060336013701070204010603	2132825888
10.1002/pola.10001	020010000023625242110370100000001-0200100060336013701070407010507	2132825888
10.1002/pola.10001	020010000023625242110370100000001-0200100060336013701070407050407	2132825888
10.1002/pola.10001	020010000023625242110370100000001-0200100060336013701070206060701	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000106360000030263030806015808005909000208096333	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000106360000030263030806015807095909000106046302	2132825888
10.1002/pola.10001	020010000023625242110370100000001-020010000023622102712370109080037000300000100050009	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000201362210000001040810000509	2132825888
10.1002/pola.10001	020010000023625242110370100000001-020010000023622101225370109080537000201080600080109	2132825888
10.1002/pola.10001	020010000023625242110370100000001-0200100000236252421370109080537010800020300060004	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000201362210000001060910000006	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000201362210000001060910000008	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000201362210000001060910000007	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000201362210000001080310000409	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000106360000010463030005075808005909000103066306	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000201362210060000070510000302	2132825888
10.1002/pola.10001	020010000023625242110370100000001-020010000023622102712370109080137000300000200060201	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000201362210000002040010000002	2132825888
10.1002/pola.10001	020010000023625242110370100000001-020010000023625242111370109080837000900020600060009	2132825888
10.1002/pola.10001	020010000023625242110370100000001-020010000023601000909630005010858020000000102010559030838020440040400033838101813632524211009004203370037122439026306	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000002360100090963000501085802000000010000015903083801094003060506383810181363252421100109004203370037122439026322	2132825888
10.1002/pola.10001	020010000023625242110370100000001-0200100000236252421370109070637010300010400080003	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000800360000020202030307090008000508010508	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000201361910000001060510000504	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000106360000040063040003095809015908000709076310	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000002361023181437010909020001090701	2132825888
10.1002/pola.10001	020010000023625242110370100000001-020010000023610132210370109090600000800020100	2132825888
10.1002/pola.10001	020010000023625242110370100000001-0200100000236010009096300050108580200000001025903083801614004080201383810181363252421100109004203370037122439026321	2132825888
10.1002/pola.10001	020010000023625242110370100000001-020010000023658281812185901000909630005010858020000000002010559030838044006080938381018136325242110034203370037122439026330	2132825888
10.1002/pola.10001	020010000023625242110370100000001-020010000023622102712370109080237000300000300020008	2132825888
10.1002/pola.10001	020010000023625242110370100000001-0200100020136221009050109010422	2132825888
10.1002/pola.10001	020010000023625242110370100000001-020010000023658281812185901000909630005010858020000000006010559030838010240020102013838101813632524211001004203370037122439026333	2132825888
10.1002/pola.10001	020010000023625242110370100000001-0200100000236010009096300050108580200000001025903083801614004070706383810181363252421100106004203370037122439026305	2132825888
10.1002/pola.10001	020010000023625242110370100000001-0200100000236010009096300050108580200000001025903083801614004070305383810181363252421100103004203370037122439026321	2132825888
10.1002/pola.10001	020010000023625242110370100000001-0200100020136221000000008070129	2132825888
10.1002/pola.10001	020010000023625242110370100000001-020010000023601000909630005010858020000000009010559030838010840030203053838101813632524211002004203370037122439026306	2132825888
10.1002/pola.10001	020010000023625242110370100000001-0200100000236010009096300050108580200000001025903083801614004070409383810181363252421100104004203370037122439026313	2132825888
